omega_d_GHz,max_prob_1,avg_prob_1
5.140000000000001,0.3007808618593416,0.10316300252830536
5.1425,0.2934745437187254,0.10005689072193245
5.1450000000000005,0.2862122598840773,0.09704042281142038
5.1475,0.2789981712962111,0.09410897933325055
5.15,0.2718366566186683,0.09126909626447698
5.1525,0.26472910745398637,0.0885368112690704
5.155,0.2576853878517781,0.08593087168487674
5.157500000000001,0.2507007101660196,0.08348910252383573
5.16,0.2444317172235737,0.08124761159389202
5.1625000000000005,0.23907938816671903,0.0792408021068765
5.165,0.23375998318777547,0.07747799500811037
5.1675,0.22847690002072008,0.07594783204970494
5.17,0.22322828037424347,0.07460590002704987
5.1725,0.21801976512846755,0.07337962811338486
5.175,0.21285062881434835,0.07219534563049504
5.1775,0.20772297175648857,0.07096715381055883
5.18,0.2026385355528506,0.06963932753339827
5.1825,0.19759877202781118,0.06818032535372445
5.1850000000000005,0.1926056287901723,0.06658381141211628
5.1875,0.1876609146636472,0.06487059034331609
5.19,0.18276590567936812,0.06308408867587066
5.1925,0.17793496220879734,0.06126860005345519
5.195,0.1733304885374125,0.05945517592476808
5.1975,0.16910939039566475,0.05769470410482633
5.2,0.16571264327464152,0.0559779391426993
